GOID	TERM
2570	GO:0003933	GTP cyclohydrolase activity
2571	GO:0003934	GTP cyclohydrolase I activity
2573	GO:0003937	IMP cyclohydrolase activity
2574	GO:0003938	IMP dehydrogenase activity
2577	GO:0003941	L-serine ammonia-lyase activity
2585	GO:0003950	NAD+ ADP-ribosyltransferase activity
2586	GO:0003951	NAD+ kinase activity
2587	GO:0003952	NAD+ synthase (glutamine-hydrolyzing) activity
2588	GO:0003953	NAD+ nucleosidase activity
2589	GO:0003954	NADH dehydrogenase activity
2590	GO:0003955	NAD(P)H dehydrogenase (quinone) activity
2599	GO:0003964	RNA-directed DNA polymerase activity
2601	GO:0003972	RNA ligase (ATP) activity
2603	GO:0003974	UDP-N-acetylglucosamine 4-epimerase activity
2607	GO:0003978	UDP-glucose 4-epimerase activity
2608	GO:0003979	UDP-glucose 6-dehydrogenase activity
2609	GO:0003980	UDP-glucose:glycoprotein glucosyltransferase activity
2610	GO:0003983	UTP:glucose-1-phosphate uridylyltransferase activity
2614	GO:0003987	acetate-CoA ligase activity
2616	GO:0003989	acetyl-CoA carboxylase activity
2620	GO:0003993	acid phosphatase activity
2622	GO:0003995	acyl-CoA dehydrogenase activity
2623	GO:0003997	acyl-CoA oxidase activity
2624	GO:0003998	acylphosphatase activity
2625	GO:0003999	adenine phosphoribosyltransferase activity
2626	GO:0004000	adenosine deaminase activity
2627	GO:0004001	adenosine kinase activity
2628	GO:0004013	adenosylhomocysteinase activity
2631	GO:0004016	adenylate cyclase activity
2632	GO:0004017	adenylate kinase activity
2634	GO:0004019	adenylosuccinate synthase activity
2635	GO:0004020	adenylylsulfate kinase activity
2637	GO:0004022	alcohol dehydrogenase (NAD+) activity
2648	GO:0004033	aldo-keto reductase (NADP) activity
2649	GO:0004034	aldose 1-epimerase activity
2650	GO:0004035	alkaline phosphatase activity
2651	GO:0004037	allantoicase activity
2652	GO:0004038	allantoinase activity
2658	GO:0004045	aminoacyl-tRNA hydrolase activity
2659	GO:0004046	aminoacylase activity
2664	GO:0004052	arachidonate 12(S)-lipoxygenase activity
2665	GO:0004053	arginase activity
2667	GO:0004055	argininosuccinate synthase activity
2669	GO:0004057	arginyltransferase activity
2676	GO:0004064	arylesterase activity
2677	GO:0004065	arylsulfatase activity
2678	GO:0004066	asparagine synthase (glutamine-hydrolyzing) activity
2679	GO:0004067	asparaginase activity
2681	GO:0004069	L-aspartate:2-oxoglutarate aminotransferase activity
2686	GO:0004074	biliverdin reductase (NAD(P)+) activity
2689	GO:0004077	biotin-[acetyl-CoA-carboxylase] ligase activity
2693	GO:0004081	bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity
2694	GO:0004082	bisphosphoglycerate mutase activity
2696	GO:0004084	branched-chain-amino-acid transaminase activity
2697	GO:0004085	butyryl-CoA dehydrogenase activity
2699	GO:0004088	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity
2700	GO:0004089	carbonate dehydratase activity
2703	GO:0004095	carnitine O-palmitoyltransferase activity
2704	GO:0004096	catalase activity
2705	GO:0004097	catechol oxidase activity
2708	GO:0004100	chitin synthase activity
2711	GO:0004104	cholinesterase activity
2715	GO:0004108	citrate (Si)-synthase activity
2716	GO:0004109	coproporphyrinogen oxidase activity
2718	GO:0004111	creatine kinase activity
2719	GO:0004112	cyclic-nucleotide phosphodiesterase activity
2721	GO:0004114	3',5'-cyclic-nucleotide phosphodiesterase activity
2722	GO:0004115	3',5'-cyclic-AMP phosphodiesterase activity
2728	GO:0004122	cystathionine beta-synthase activity
2729	GO:0004123	cystathionine gamma-lyase activity
2733	GO:0004127	cytidylate kinase activity
2734	GO:0004128	cytochrome-b5 reductase activity, acting on NAD(P)H
2735	GO:0004129	cytochrome-c oxidase activity
2739	GO:0004133	glycogen debranching enzyme activity
2740	GO:0004134	4-alpha-glucanotransferase activity
2741	GO:0004135	amylo-alpha-1,6-glucosidase activity
2746	GO:0004140	dephospho-CoA kinase activity
2749	GO:0004143	diacylglycerol kinase activity
2750	GO:0004144	diacylglycerol O-acyltransferase activity
2751	GO:0004145	diamine N-acetyltransferase activity
2752	GO:0004146	dihydrofolate reductase activity
2754	GO:0004148	dihydrolipoyl dehydrogenase activity
2755	GO:0004149	dihydrolipoyllysine-residue succinyltransferase activity
2758	GO:0004152	dihydroorotate dehydrogenase activity
2769	GO:0004163	diphosphomevalonate decarboxylase activity
2770	GO:0004164	diphthine synthase activity
2774	GO:0004168	dolichol kinase activity
2775	GO:0004169	dolichyl-phosphate-mannose-protein mannosyltransferase activity
2776	GO:0004170	dUTP diphosphatase activity
2778	GO:0004174	electron-transferring-flavoprotein dehydrogenase activity
2779	GO:0004175	endopeptidase activity
2780	GO:0004176	ATP-dependent peptidase activity
2781	GO:0004177	aminopeptidase activity
2782	GO:0004180	carboxypeptidase activity
2783	GO:0004181	metallocarboxypeptidase activity
2784	GO:0004185	serine-type carboxypeptidase activity
2785	GO:0004190	aspartic-type endopeptidase activity
2786	GO:0004197	cysteine-type endopeptidase activity
2787	GO:0004198	calcium-dependent cysteine-type endopeptidase activity
2788	GO:0004222	metalloendopeptidase activity
2789	GO:0004252	serine-type endopeptidase activity
2790	GO:0004298	threonine-type endopeptidase activity
2791	GO:0004300	enoyl-CoA hydratase activity
2793	GO:0004303	estradiol 17-beta-dehydrogenase activity
2794	GO:0004304	estrone sulfotransferase activity
2796	GO:0004306	ethanolamine-phosphate cytidylyltransferase activity
2798	GO:0004308	exo-alpha-sialidase activity
2800	GO:0004310	farnesyl-diphosphate farnesyltransferase activity
2801	GO:0004311	farnesyltranstransferase activity
2802	GO:0004312	fatty acid synthase activity
2804	GO:0004314	[acyl-carrier-protein] S-malonyltransferase activity
2805	GO:0004315	3-oxoacyl-[acyl-carrier-protein] synthase activity
2814	GO:0004325	ferrochelatase activity
2818	GO:0004331	fructose-2,6-bisphosphate 2-phosphatase activity
2819	GO:0004332	fructose-bisphosphate aldolase activity
2820	GO:0004333	fumarate hydratase activity
2823	GO:0004336	galactosylceramidase activity
2827	GO:0004340	glucokinase activity
2828	GO:0004341	gluconolactonase activity
2829	GO:0004342	glucosamine-6-phosphate deaminase activity
2830	GO:0004343	glucosamine 6-phosphate N-acetyltransferase activity
2832	GO:0004345	glucose-6-phosphate dehydrogenase activity
2833	GO:0004346	glucose-6-phosphatase activity
2834	GO:0004347	glucose-6-phosphate isomerase activity
2835	GO:0004348	glucosylceramidase activity
2839	GO:0004352	glutamate dehydrogenase (NAD+) activity
2840	GO:0004353	glutamate dehydrogenase [NAD(P)+] activity
2841	GO:0004354	glutamate dehydrogenase (NADP+) activity
2843	GO:0004356	glutamate-ammonia ligase activity
2844	GO:0004357	glutamate-cysteine ligase activity
2846	GO:0004359	glutaminase activity
2847	GO:0004360	glutamine-fructose-6-phosphate transaminase (isomerizing) activity
2849	GO:0004362	glutathione-disulfide reductase (NADPH) activity
2850	GO:0004363	glutathione synthase activity
2851	GO:0004364	glutathione transferase activity
2852	GO:0004365	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity
2854	GO:0004367	glycerol-3-phosphate dehydrogenase [NAD+] activity
2857	GO:0004370	glycerol kinase activity
2858	GO:0004371	glycerone kinase activity
2859	GO:0004372	glycine hydroxymethyltransferase activity
2860	GO:0004373	glycogen (starch) synthase activity
2861	GO:0004375	glycine dehydrogenase (decarboxylating) activity
2862	GO:0004376	glycolipid mannosyltransferase activity
2863	GO:0004377	GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity
2865	GO:0004379	glycylpeptide N-tetradecanoyltransferase activity
2869	GO:0004383	guanylate cyclase activity
2870	GO:0004385	guanylate kinase activity
2871	GO:0004386	helicase activity
2872	GO:0004392	heme oxygenase (decyclizing) activity
2875	GO:0004396	hexokinase activity
2876	GO:0004397	histidine ammonia-lyase activity
2881	GO:0004402	histone acetyltransferase activity
2882	GO:0004407	histone deacetylase activity
2883	GO:0004408	holocytochrome-c synthase activity
2886	GO:0004411	homogentisate 1,2-dioxygenase activity
2890	GO:0004415	hyalurononglucosaminidase activity
2891	GO:0004416	hydroxyacylglutathione hydrolase activity
2893	GO:0004418	hydroxymethylbilane synthase activity
2894	GO:0004419	hydroxymethylglutaryl-CoA lyase activity
2895	GO:0004420	hydroxymethylglutaryl-CoA reductase (NADPH) activity
2896	GO:0004421	hydroxymethylglutaryl-CoA synthase activity
2897	GO:0004422	hypoxanthine phosphoribosyltransferase activity
2898	GO:0004423	iduronate-2-sulfatase activity
2901	GO:0004427	inorganic diphosphatase activity
2902	GO:0004430	1-phosphatidylinositol 4-kinase activity
2903	GO:0004435	phosphatidylinositol phospholipase C activity
2905	GO:0004438	phosphatidylinositol-3-phosphatase activity
2906	GO:0004439	phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity
2908	GO:0004445	inositol-polyphosphate 5-phosphatase activity
2909	GO:0004446	inositol-hexakisphosphate phosphatase activity
2911	GO:0004448	isocitrate dehydrogenase activity
2912	GO:0004449	isocitrate dehydrogenase (NAD+) activity
2913	GO:0004450	isocitrate dehydrogenase (NADP+) activity
2915	GO:0004452	isopentenyl-diphosphate delta-isomerase activity
2917	GO:0004454	ketohexokinase activity
2920	GO:0004457	lactate dehydrogenase activity
2922	GO:0004459	L-lactate dehydrogenase activity
2925	GO:0004462	lactoylglutathione lyase activity
2928	GO:0004465	lipoprotein lipase activity
2929	GO:0004466	long-chain-acyl-CoA dehydrogenase activity
2930	GO:0004467	long-chain fatty acid-CoA ligase activity
2932	GO:0004470	malic enzyme activity
2933	GO:0004471	malate dehydrogenase (decarboxylating) (NAD+) activity
2935	GO:0004474	malate synthase activity
2937	GO:0004476	mannose-6-phosphate isomerase activity
2938	GO:0004477	methenyltetrahydrofolate cyclohydrolase activity
2939	GO:0004478	methionine adenosyltransferase activity
2940	GO:0004479	methionyl-tRNA formyltransferase activity
2942	GO:0004482	mRNA (guanine-N7-)-methyltransferase activity
2943	GO:0004483	mRNA (nucleoside-2'-O-)-methyltransferase activity
2944	GO:0004484	mRNA guanylyltransferase activity
2946	GO:0004486	methylenetetrahydrofolate dehydrogenase [NAD(P)+] activity
2948	GO:0004488	methylenetetrahydrofolate dehydrogenase (NADP+) activity
2949	GO:0004489	methylenetetrahydrofolate reductase (NAD(P)H) activity
2951	GO:0004491	methylmalonate-semialdehyde dehydrogenase (acylating) activity
2957	GO:0004497	monooxygenase activity
2959	GO:0004499	N,N-dimethylaniline monooxygenase activity
2960	GO:0004500	dopamine beta-monooxygenase activity
2962	GO:0004502	kynurenine 3-monooxygenase activity
2964	GO:0004504	peptidylglycine monooxygenase activity
2970	GO:0004510	tryptophan 5-monooxygenase activity
2971	GO:0004511	tyrosine 3-monooxygenase activity
2972	GO:0004512	inositol-3-phosphate synthase activity
2974	GO:0004514	nicotinate-nucleotide diphosphorylase (carboxylating) activity
2975	GO:0004515	nicotinate-nucleotide adenylyltransferase activity
2976	GO:0004516	nicotinate phosphoribosyltransferase activity
2977	GO:0004517	nitric-oxide synthase activity
2978	GO:0004518	nuclease activity
2979	GO:0004519	endonuclease activity
2980	GO:0004520	endodeoxyribonuclease activity
2981	GO:0004521	endoribonuclease activity
2983	GO:0004523	RNA-DNA hybrid ribonuclease activity
2984	GO:0004525	ribonuclease III activity
2985	GO:0004526	ribonuclease P activity
2986	GO:0004527	exonuclease activity
2987	GO:0004528	phosphodiesterase I activity
2988	GO:0004529	exodeoxyribonuclease activity
2990	GO:0004531	deoxyribonuclease II activity
2991	GO:0004532	exoribonuclease activity
2994	GO:0004535	poly(A)-specific ribonuclease activity
2995	GO:0004536	deoxyribonuclease activity
2996	GO:0004540	ribonuclease activity
2997	GO:0004549	tRNA-specific ribonuclease activity
2998	GO:0004550	nucleoside diphosphate kinase activity
2999	GO:0004551	nucleotide diphosphatase activity
3001	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
3002	GO:0004555	alpha,alpha-trehalase activity
3003	GO:0004556	alpha-amylase activity
3006	GO:0004559	alpha-mannosidase activity
3007	GO:0004560	alpha-L-fucosidase activity
3009	GO:0004563	beta-N-acetylhexosaminidase activity
3011	GO:0004565	beta-galactosidase activity
3012	GO:0004566	beta-glucuronidase activity
3014	GO:0004568	chitinase activity
3016	GO:0004571	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity
3018	GO:0004573	mannosyl-oligosaccharide glucosidase activity
3021	GO:0004576	oligosaccharyl transferase activity
3022	GO:0004577	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase activity
3024	GO:0004579	dolichyl-diphosphooligosaccharide-protein glycotransferase activity
3030	GO:0004587	ornithine-oxo-acid transaminase activity
3034	GO:0004591	oxoglutarate dehydrogenase (succinyl-transferring) activity
3037	GO:0004594	pantothenate kinase activity
3039	GO:0004596	peptide alpha-N-acetyltransferase activity
3040	GO:0004598	peptidylamidoglycolate lyase activity
3041	GO:0004601	peroxidase activity
3042	GO:0004602	glutathione peroxidase activity
3045	GO:0004605	phosphatidate cytidylyltransferase activity
3047	GO:0004608	phosphatidylethanolamine N-methyltransferase activity
3049	GO:0004610	phosphoacetylglucosamine mutase activity
3054	GO:0004615	phosphomannomutase activity
3056	GO:0004617	phosphoglycerate dehydrogenase activity
3057	GO:0004618	phosphoglycerate kinase activity
3058	GO:0004619	phosphoglycerate mutase activity
3059	GO:0004620	phospholipase activity
3061	GO:0004622	lysophospholipase activity
3062	GO:0004623	phospholipase A2 activity
3063	GO:0004629	phospholipase C activity
3064	GO:0004630	phospholipase D activity
3065	GO:0004631	phosphomevalonate kinase activity
3068	GO:0004634	phosphopyruvate hydratase activity
3071	GO:0004637	phosphoribosylamine-glycine ligase activity
3075	GO:0004641	phosphoribosylformylglycinamidine cyclo-ligase activity
3077	GO:0004643	phosphoribosylaminoimidazolecarboxamide formyltransferase activity
3078	GO:0004644	phosphoribosylglycinamide formyltransferase activity
